"device","ts","humidity","temp","light","motion","lpg","co","smoke","msg_received","metadata","__dt"
"iot-device-03","1.5946038263431413E9","48.9","71.06","false","false","0.008","0.0053","0.0215","2020-11-26T16:58:11.411+0000","{defaultclientid=iot-device-03, thingname=iot-device-03, thingid=877352b9-a35d-45d3-9c98-162d89965a13, thingarn=arn:aws:iot:us-east-1:507441099951:thing/iot-device-03, thingtypename=null, attributes={installed=1592562234, latitude=37.4133144, longitude=-122.1513069}, version=1, billinggroupname=null}","2020-11-26 00:00:00.000"
"iot-device-02","1.5946038263817966E9","59.7","79.16","true","false","0.0072","0.0046","0.0192","2020-11-26T16:58:11.705+0000","{defaultclientid=iot-device-02, thingname=iot-device-02, thingid=4ae4927a-aefb-4584-a45a-fc4839feffd6, thingarn=arn:aws:iot:us-east-1:507441099951:thing/iot-device-02, thingtypename=null, attributes={installed=1593361211, latitude=32.8205865, longitude=-96.871627}, version=1, billinggroupname=null}","2020-11-26 00:00:00.000"
"iot-device-03","1.5946038300290902E9","48.9","71.24","false","false","0.008","0.0053","0.0215","2020-11-26T16:58:11.998+0000","{defaultclientid=iot-device-03, thingname=iot-device-03, thingid=877352b9-a35d-45d3-9c98-162d89965a13, thingarn=arn:aws:iot:us-east-1:507441099951:thing/iot-device-03, thingtypename=null, attributes={installed=1592562234, latitude=37.4133144, longitude=-122.1513069}, version=1, billinggroupname=null}","2020-11-26 00:00:00.000"
"iot-device-02","1.5946037657824502E9","59.6","79.16","true","false","0.0072","0.0046","0.0192","2020-11-26T16:58:00.170+0000","{defaultclientid=iot-device-02, thingname=iot-device-02, thingid=4ae4927a-aefb-4584-a45a-fc4839feffd6, thingarn=arn:aws:iot:us-east-1:507441099951:thing/iot-device-02, thingtypename=null, attributes={installed=1593361211, latitude=32.8205865, longitude=-96.871627}, version=1, billinggroupname=null}","2020-11-26 00:00:00.000"
"iot-device-01","1.5946037669516926E9","73.6","66.2","false","false","0.0107","0.0078","0.0291","2020-11-26T16:58:00.468+0000","{defaultclientid=iot-device-01, thingname=iot-device-01, thingid=983c2b68-f9a3-4e83-b3c6-9f6f8ad5431b, thingarn=arn:aws:iot:us-east-1:507441099951:thing/iot-device-01, thingtypename=null, attributes={installed=1594665292, latitude=37.4133144, longitude=-122.1513069}, version=1, billinggroupname=null}","2020-11-26 00:00:00.000"
"iot-device-03","1.5946037674252687E9","48.9","71.24","false","false","0.0081","0.0053","0.0216","2020-11-26T16:58:00.835+0000","{defaultclientid=iot-device-03, thingname=iot-device-03, thingid=877352b9-a35d-45d3-9c98-162d89965a13, thingarn=arn:aws:iot:us-east-1:507441099951:thing/iot-device-03, thingtypename=null, attributes={installed=1592562234, latitude=37.4133144, longitude=-122.1513069}, version=1, billinggroupname=null}","2020-11-26 00:00:00.000"
"iot-device-03","1.59460377111155E9","48.9","71.24","false","false","0.008","0.0053","0.0215","2020-11-26T16:58:01.119+0000","{defaultclientid=iot-device-03, thingname=iot-device-03, thingid=877352b9-a35d-45d3-9c98-162d89965a13, thingarn=arn:aws:iot:us-east-1:507441099951:thing/iot-device-03, thingtypename=null, attributes={installed=1592562234, latitude=37.4133144, longitude=-122.1513069}, version=1, billinggroupname=null}","2020-11-26 00:00:00.000"
"iot-device-01","1.5946037718466492E9","73.7","66.2","false","false","0.0107","0.0078","0.0291","2020-11-26T16:58:01.403+0000","{defaultclientid=iot-device-01, thingname=iot-device-01, thingid=983c2b68-f9a3-4e83-b3c6-9f6f8ad5431b, thingarn=arn:aws:iot:us-east-1:507441099951:thing/iot-device-01, thingtypename=null, attributes={installed=1594665292, latitude=37.4133144, longitude=-122.1513069}, version=1, billinggroupname=null}","2020-11-26 00:00:00.000"
"iot-device-02","1.594603774407917E9","59.6","79.16","true","false","0.0072","0.0046","0.0192","2020-11-26T16:58:01.705+0000","{defaultclientid=iot-device-02, thingname=iot-device-02, thingid=4ae4927a-aefb-4584-a45a-fc4839feffd6, thingarn=arn:aws:iot:us-east-1:507441099951:thing/iot-device-02, thingtypename=null, attributes={installed=1593361211, latitude=32.8205865, longitude=-96.871627}, version=1, billinggroupname=null}","2020-11-26 00:00:00.000"
"iot-device-03","1.5946037747979016E9","48.9","71.24","false","false","0.0081","0.0053","0.0216","2020-11-26T16:58:02.015+0000","{defaultclientid=iot-device-03, thingname=iot-device-03, thingid=877352b9-a35d-45d3-9c98-162d89965a13, thingarn=arn:aws:iot:us-east-1:507441099951:thing/iot-device-03, thingtypename=null, attributes={installed=1592562234, latitude=37.4133144, longitude=-122.1513069}, version=1, billinggroupname=null}","2020-11-26 00:00:00.000"
